year,manager,rank,team_name,wlt,pf,pa,streak,waiver,moves
2019,Mattias,1,prius,8-5-0,1651.98,1560.72,L-1,5,67
2019,riley,2,happy golladays🎅🏻,6-7-0,1691.5,1694.02,L-1,8,38
2019,lucas,3,nowhere to Hyde,10-3-0,1638.76,1509.6,W-1,4,20
2019,Jack,4,RaheemDaDream,8-5-0,1633.68,1471.04,W-2,7,70
2019,Niko,5,peeks for playoffs,6-7-0,1657.66,1534.16,W-1,2,31
2019,Dylan,6,The BAC,7-6-0,1573.76,1668.88,L-1,3,46
2019,Connor,7,Peeks for playoffs,6-7-0,1587.92,1590.74,L-1,10,41
2019,Nate,8,Peeks for PlayoffsV2,6-7-0,1610.02,1616.8,W-1,6,34
2019,Brendan,9,road to not last,4-9-0,1430.78,1716.78,W-1,9,49
2019,Aaron,10,Sooper Bull Seesin,4-9-0,1500.58,1613.9,L-3,1,30
2020,Jack,1,DJax Bar Mitzvah,8-5-0,1527.31,1534.8,W-1,8,55
2020,Niko,2,L,9-4-0,1717.08,1518.53,W-1,7,31
2020,riley,3,Mckiss the Cook,6-7-0,1628.88,1690.32,W-3,3,49
2020,Aaron,4,Dorey Cavis Fan Club,8-5-0,1710.16,1517.6,W-2,2,38
2020,Brendan,5,i appreciate u dyl,6-7-0,1554.07,1538.02,L-1,4,61
2020,lucas,6,russ down bad,7-6-0,1536.78,1564.25,L-2,1,25
2020,Connor,7,Constellation champW,6-7-0,1534.84,1657.34,L-2,9,70
2020,Nate,8,constellation champ,5-8-0,1445.95,1560.69,L-2,6,50
2020,Dylan,9,.,5-8-0,1331.17,1428.87,W-2,10,96
2020,Mattias,10,prius,5-8-0,1589.72,1565.54,L-1,5,63
2021,Dylan,1,Smokin Herb,9-5-0,1707.38,1553.44,W-2,10,61
2021,lucas,2,Robby tha JIT,9-5-0,1819.62,1620.22,L-1,9,40
2021,Brendan,3,eat my bASS,8-6-0,1712.8,1659.14,W-4,5,57
2021,Mattias,4,The Coop Kupp Clan,8-6-0,1808.48,1711.94,L-1,6,28
2021,riley,5,Montgonnorhea,6-8-0,1726.16,1744.36,W-1,2,30
2021,Jack,6,Carl Nassib's Sack Count,7-7-0,1594.56,1687.34,L-1,3,52
2021,Aaron,7,Return of the Mick,6-8-0,1682.98,1938.42,W-1,7,41
2021,Niko,8,swift murderer,6-8-0,1690.52,1643.96,L-2,1,19
2021,Connor,9,Sad,6-8-0,1507.68,1624.74,W-1,4,67
2021,Nate,10,skinny girls only,5-9-0,1634.58,1701.2,L-5,8,39
2022,Connor,1,Najee’s in Paris,9-5-0,1669.91,1543.02,W-4,1,31
2022,Jack,2,Carl Nassib's Sack Count,12-2-0,1807.04,1519.98,W-1,10,60
2022,Dylan,3,Third Place Pls,11-3-0,1624.83,1435.32,W-3,4,37
2022,Nate,4,sho put these nuts in ur mouth,7-7-0,1600.69,1583.98,L-1,7,34
2022,Aaron,5,BIG COCK BROCK,6-8-0,1605.15,1637.02,W-1,3,22
2022,Niko,6,maybe next week,7-7-0,1504.52,1586.6,W-1,6,16
2022,riley,7,ceedeez juus 🌟,4-10-0,1678.39,1768.33,L-1,2,25
2022,Brendan,8,🐧,6-8-0,1581.98,1624.64,L-3,8,50
2022,lucas,9,I ride with my brothas ✊🏿,5-9-0,1563.36,1654.61,L-1,9,30
2022,Mattias,10,loserbowl Ws,3-11-0,1385.56,1667.93,L-4,5,48
2023,Niko,1,Bijan 🥩 rider,9-5-0,1735.11,1569.06,W-1,3,15
2023,Connor,2,Suite Life of Dak and Kelce,9-5-0,1740.62,1622.26,L-1,10,34
2023,lucas,3,I AINT WRITE BACK,6-8-0,1531.53,1644.24,W-1,1,26
2023,Jack,4,I Wank For Tank,7-7-0,1583.43,1507.06,L-1,9,51
2023,Dylan,5,It’s Over,8-6-0,1658.04,1579.04,L-4,6,27
2023,Nate,6,Kev Hame’s Blunt Rollers,9-5-0,1695.76,1541.06,W-4,2,20
2023,Brendan,7,Trus the Process 🧘‍♀️,6-8-0,1370.42,1491.87,W-2,7,69
2023,Aaron,8,LIVE AND DIE ON THIS DAY,6-8-0,1486.21,1563.13,L-1,4,28
2023,riley,9,i’m gonna kmet suicide,5-9-0,1410.72,1626.08,W-1,5,21
2023,Mattias,10,This shit sucks,5-9-0,1647.41,1715.45,L-2,8,25
2025,Dylan,1,Cotton Picken Njigbas,11-3-0,1752.97,1504.93,W-4,8,26
2025,Mattias,2,Moore Rice Prease,9-5-0,1782.35,1628.62,L-1,10,45
2025,Connor,3,I Chase Brown Kids,8-6-0,1464.18,1468.32,L-3,9,28
2025,Jack,4,Coke Head,7-7-0,1544.93,1565.03,W-1,7,58
2025,Nate,5,peeks for playoffs,8-6-0,1522.22,1551.44,W-2,5,30
2025,lucas,6,Keons Favorite Cookies,8-6-0,1553.1,1587.07,W-1,1,10
2025,Niko,7,Practice Squad Warriors,6-8-0,1662.75,1578.91,L-1,6,21
2025,Brendan,8,Patrick MaHamas,5-9-0,1492.83,1529.35,L-2,4,49
2025,Aaron,9,Pancake Boi🥀🥞,4-10-0,1379.71,1539.77,L-1,3,39
2025,riley,10,Road to Ninth #Foaks,4-10-0,1501.0,1702.6,W-1,2,17
